[2017-01-28 02:00:41.936] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:44.948] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:47.959] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:50.961] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:53.966] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:05.027] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:08.029] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:11.034] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:14.044] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:17.052] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:20.063] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:23.069] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:26.075] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:29.077] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:01:32.087] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:30.166] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:33.168] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:36.173] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:39.178] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:42.190] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:45.201] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:48.211] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:51.226] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:54.230] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:01:57.236] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:00.241] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:03.244] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:06.248] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:09.253] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:12.259] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:15.270] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:18.279] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:21.290] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:24.301] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:27.312] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:30.314] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 03:02:33.322] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:31.537] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:34.545] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:37.549] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:40.556] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:43.559] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:46.567] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:49.570] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:52.579] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:55.588] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:02:58.601] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:01.610] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:04.617] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:07.626] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:10.633] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:13.643] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:16.651] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:19.661] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:22.666] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:25.677] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:28.687] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:31.692] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:34.694] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:37.696] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 05:03:40.698] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:38.230] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:41.241] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:44.252] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:47.254] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:50.258] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:53.262] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:56.275] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:03:59.284] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:02.295] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:05.308] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:08.314] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:11.322] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:14.331] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:17.345] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:20.353] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 07:04:23.359] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:30.019] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:33.023] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:36.029] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:39.034] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:42.040] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:45.044] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:48.047] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:51.051] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:54.055] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:26:57.061] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:00.063] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:03.068] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:06.071] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:09.074] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:12.075] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:15.077] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:18.079] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:21.082] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:24.085] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:27.088] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:30.095] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:33.097] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:36.100] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:39.104] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:42.106] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:45.112] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:48.115] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:51.116] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:54.119] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:27:57.122] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:00.124] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:03.126] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:06.130] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:09.137] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:12.141] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:15.144] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:18.147] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:21.153] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:24.155] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:27.158] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:30.165] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:33.169] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:36.172] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:39.174] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 08:28:42.178] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
